title_abstract,C23,C04,C14,C10
"Evaluation of 99Tcm Technegas ventilation scintigraphy in the diagnosis of pulmonary embolism.
 In the diagnosis of pulmonary embolism, perfusion lung scintigraphy offers high sensitivity but low specificity.
 The specificity can be significantly increased by the use of combined ventilation and perfusion studies.
 Most aspects of perfusion lung scintigraphy are uniformly accepted but the technique of ventilation imaging varies from centre to centre.
 This study describes a new technique for the performance of ventilation scintigraphy using a suspension of ultrafine carbon particles labelled with 99Tcm (""Technegas"").
 The technique combines the ready availability of 99Tcm and its optimal imaging properties with an easily administered radiopharmaceutical of particle size sufficiently small to deposit in the alveoli.
 Of 63 patients studied by conventional perfusion scintigraphy plus Technegas ventilation scintigraphy, images of diagnostic quality were obtained in all.
 31 of these patients also had a ventilation study using 81Krm gas and in only one instance did the two methods of ventilation imaging lead to differing interpretations.
 We conclude that high quality diagnostic images may be obtained using this new technique, which can be made available on both a routine and an emergency basis, thus improving the service provided for patients suspected of having pulmonary embolism.
",0,0,0,0
"Cardiorespiratory effects of pressure controlled ventilation in severe respiratory failure.
 Cardiorespiratory values were measured in ten patients with severe respiratory failure on volume controlled and pressure controlled ventilation.
 Tidal volume, respirator rate, PEEP, auto-PEEP, inspiratory:expiratory ratio (1:2) and FIo2 were maintained at the same value for both ventilatory modalities.
 Changing from VCV to PCV was associated with significant improvements in PaO2, oxygen delivery, and tissue oxygen consumption.
 Peak inspiratory pressure fell.
 There were no significant changes in other cardiorespiratory values, such as arterial blood pressure, nor in ventilatory measurements, such as mean airway pressure, associated with the use of PCV.
 These results suggest that PCV may be a beneficial ventilatory modality in the treatment of severe respiratory failure since it results in improvement in arterial oxygenation, tissue oxygen delivery and utilization without any concomitant adverse effects on other hemodynamic or ventilatory factors.
",0,0,0,0
"Lung function in school-age children who had mild lower respiratory illnesses in early childhood.
 We examined the relationship between patterns of mild lower respiratory illness (LRI) experienced in early childhood and lung function in 89 boys and 70 girls 6 to 18 yr of age.
 The children's histories of outpatient visits for wheezing and nonwheezing LRI during the first 6 yr of life had been documented by physicians in a single pediatric practice.
 Most children were reported by their parents to have been free of recurrent respiratory symptoms during the 2 yr prior to lung function testing.
 In sex-specific analyses, average lung function assessed by spirometry was similar in children who had made zero or one physician visit for wheezing LRI during the preschool years.
 Boys who had experienced two or more episodes of wheezing LRI during the preschool years had lower average FEV1, FEV1/FVC, FEF25-75, Vmax50, and Vmax75 than did boys who had zero or one preschool wheezing illness.
 The association between recurrent preschool wheezing LRI and later lung function remained after exclusion of data from seven boys who were reported to have wheezed in the 2 yr prior to study.
 Girls who had experienced two or more preschool wheezing LRI had lower average FEF25-75 and Vmax50 than girls with a history of zero or one such illness, but differences were not statistically significant.
 Recurrent nonwheezing LRI during the preschool years was not significantly associated with subsequent lung function in either sex, regardless of preschool wheezing LRI history.
 Detailed information concerning early childhood LRI experience is valuable in epidemiologic studies of factors influencing lung function in children.
",1,0,0,0
"Comparison of expandable endotracheal stents in the treatment of surgically induced piglet tracheomalacia.
 Present surgical alternatives for pediatric tracheobronchomalacia are limited and associated with many potentially undesirable complications.
 The feasibility of different intraluminal expandable endotracheal stents for the treatment of surgically induced tracheomalacia was analyzed in 27 piglets.
 A potentially fatal tracheomalacia was surgically created.
 Either a stainless steel ""zig-zag"" stent or a woven polymeric stent was then implanted.
 Tracheal patency, mucosal function, histopathologic respiratory tract changes, and effects of the stent on esophageal motility were evaluated over a 16-week period.
 Piglets with steel stents uniformly experienced intense inflammation leading to tracheal dysfunction and death.
 Piglets with polymeric stents experienced minimal respiratory symptoms.
 Expandable polymeric endotracheal stents alleviate surgically induced piglet tracheomalacia, were easy to insert, allowed for tracheal growth, and reduced the need for high-risk surgical procedures with prolonged ventilatory support.
",0,0,0,0
"Improved outcome at 28 days of age for very low birth weight infants treated with a single dose of a synthetic surfactant 
 Two identical double-blind, controlled, randomized trials were initiated to determine whether the administration of a single 5 ml/kg dose of a synthetic surfactant (Exosurf Neonatal), soon after the delivery of infants with birth weights 700 to 1350 gm, would improve rates of survival without bronchopulmonary dysplasia.
 Both trials were terminated before enrolling their planned sample sizes because of the availability of Exosurf under the provisions of a Treatment Investigational New Drug program.
 We report the combined results of these trials.
 Study infants were stratified according to birth weight and gender before random assignment to a treatment regimen.
 One hundred ninety-two infants received Exosurf and 193 received an air placebo.
 The study groups were similar when a variety of demographic features describing the mothers, their pregnancies, the circumstances of the births, and the infants were compared.
 Exosurf-treated infants required significantly less oxygen and respiratory support during the first 3 days of life in comparison with the air-treated infants.
 Fewer infants in the Exosurf group had pulmonary interstitial emphysema (26 vs 13; p = 0.028).
 In the Exosurf group, there was a significant reduction in the combined outcome, neonatal death or survival with bronchopulmonary dysplasia (57 vs 39; p = 0.042), and there was a significant increase in rates of survival without this disease (128 vs 137; p = 0.042).
 There were no differences between treatment groups in the incidences of a variety of complications of prematurity, including apnea, patent ductus arteriosus, intraventricular hemorrhage, and necrotizing enterocolitis.
 We conclude that improvements in respiratory physiology after a single prophylactic dose of Exosurf result in an increased likelihood of neonatal survival without bronchopulmonary dysplasia.
",0,0,0,0
"Pulmonary aspiration during emergency endoscopy in patients with upper gastrointestinal hemorrhage.
 OBJECTIVE: To evaluate the frequency and significance of aspiration and its clinical importance in patients with upper GI bleeding undergoing esophagogastroduodenoscopy in the ICU.
 DESIGN: Thirty consecutive patients with active and severe upper GI bleeding were studied.
 SETTING: ICU.
 PATIENTS: Ranged in age from 20 to 78 yr with an equal number of males and females.
 INTERVENTIONS: All patients had continuous pulse oximetry monitoring and had chest radiographs obtained less than 12 hr before endoscopy and less than 4 hr after endoscopy.
 MEASUREMENTS: Six (20%) of 30 patients developed new lung infiltrates after esophagogastroduodenoscopy.
 In this group of patients, preendoscopy chest radiographs were obtained after less than 4 hr.
 In five of these patients, infiltrates were accompanied by fever and/or leukocytosis and oxygen desaturation to less than 90% during the esophagogastroduodenoscopy.
 CONCLUSION: Clinically significant aspiration pneumonia frequently complicates esophagogastroduodenoscopy in upper GI bleeding patients and is an important mechanism of esophagogastroduodenoscopy-induced hypoxia.
",1,0,0,0
"Community-acquired pulmonary infections in a public municipal hospital in the 1980s.
 The relative and absolute incidences of community-acquired bacterial and tuberculous pulmonary infections, in patients admitted to a public municipal hospital, and the clinical and radiographic characteristics of these infections were retrospectively determined for the first time in 20 years.
 The data were compared to those previously reported in the literature.
 Such data were also specifically determined for alcoholics and compared to those found in nonalcoholics.
 The absolute numbers of infections due to pneumococci and anaerobes, and to tuberculosis, were not dissimilar to those reported in the literature, even though relatively few hemophilus infections were documented.
 The lack of Klebsiella sp infections was remarkable but not unexpected.
 Alcoholic patients had significantly higher rates of tuberculosis, cavitary disease, lung disease presumably due to anaerobes, and blood-culture-positive pneumonia.
 The relative concordance of our results for bacterial and tuberculous infections with those predicted from the published literature was striking.
 The high frequency of tuberculosis in our patients was particularly striking at a time when the incidence of tuberculosis nationwide, in patients without acquired immunodeficiency syndrome, has declined significantly.
",0,0,0,0
"In vitro evaluation of bleomycin-induced cell lethality from plastic and glass containers.
 To optimize cancer chemotherapy, a considerable amount of research has been expended to study pharmacologic, pharmacokinetic, biochemical, and pharmaceutic properties of antineoplastic agents.
 However, published data on the stability and compatibility of these agents in various administration fluids and containers are few in number.
 Evidence of a significant decrease in stability as shown by high-performance liquid chromatography has been reported when bleomycin was infused in plastic containers for prolonged periods (over 24 hours) as compared with the same procedure with glass containers.
 Because administration of bleomycin is usually given as a continuous infusion, we undertook this study to determine whether the drug loss of stability that occurs in plastic containers results in a therapeutic loss of efficacy (cytotoxicity).
 By using a tumor stem-cell assay we compared the quantitative effects of bleomycin in plastic and glass containers on cell lethality.
 The results from our assay showed no significant difference in cell lethality by bleomycin from its aqueous solution stored in glass and plastic containers over the time periods observed.
 If these results had been statistically significant, the tumor stem-cell assay may have been shown to be a more sensitive means of determining the clinical significance of these stability studies.
",0,1,0,0
"MRI of the paranasal sinuses: incidental abnormalities and their relationship to symptoms.
 Magnetic resonance imaging is able to demonstrate a wide range of sinus abnormalities.
 Incidental findings in patients referred for neuroradiology because of suspected intracranial pathology are surprisingly common and were present in 37.5 per cent of 483 images examined.
 The maxillary and ethmoid sinuses were most commonly affected with 27 and 26 per cent of images abnormal whereas the frontal and sphenoid sinuses were less commonly affected with 5 per cent of each abnormal.
 If minor changes were excluded then 17 per cent of patients had either fluid, a polyp or marked mucosal thickening in at least one sinus.
 Nasal symptoms, other than the presence of a cold, showed no statistically significant relationship to abnormal findings.
 Many people with inflammatory changes in their sinuses demonstrated on MRI do not have symptoms classically attributed to sinusitis.
",0,1,0,0
"External fixation using microplates after laryngotracheal expansion surgery. An animal study.
 Management of severe laryngotracheal stenosis requires treatment with open laryngeal surgical approaches.
 Performing the necessary anterior, and possibly posterior, incisions to expand the cricoid and tracheal rings causes instability of the segments.
 Placing an intraluminal stent has several disadvantages, ranging from injury of healthy tissue to airway obstruction.
 The availability of an external stent would avoid many of these complications.
 We performed expansion laryngeal surgery in dogs and explored the use of microplates for external fixation and determined the surgical outcome if no fixation is used.
 The results show that microplates are very effective in maintaining external fixation and that a need for placing an intraluminal stent when a posterior cricoid split is performed exists.
",0,0,0,0
